county,quarter,age_category,susceptible.x,new_infected,current_infected,new_severe,cumulative_severe,flu_incidence,severe_incidence,susceptible.y,cum_fully_vax,total_partial_vax,cum_atleast_one_dose,cum_unvax
Santa Cruz,Q2,0-17,638515,16165,16450,14,68,2.5316554818602537,0.00219258748815611,57623,27597,3045,30649,26974
Santa Cruz,Q2,18-49,1230325,31197,32592,168,979,2.535671468920814,0.01365492857578282,114109,91994,9056,101052,13057
Santa Cruz,Q2,50-64,552495,13511,15632,353,2071,2.445451995040679,0.06389198092290428,51797,45277,3065,48342,3455
Santa Cruz,Q2,65+,575935,13768,17695,852,4712,2.3905475444277564,0.1479333605354771,51494,47927,3417,51344,150
Santa Cruz,Q3,0-17,432401,7315,7517,12,281,1.691716716658842,0.0027752017224752,57623,27694,3128,30829,26794
Santa Cruz,Q3,18-49,895524,15297,16369,153,3963,1.7081619253085345,0.01708496924705535,114109,92000,9174,101176,12933
Santa Cruz,Q3,50-64,398635,7480,9239,390,8783,1.8764032260087549,0.09783385804056342,51797,45279,3093,48372,3425
Santa Cruz,Q3,65+,432435,8655,12196,904,20637,2.001456866349856,0.2090487587729948,51494,47929,3477,51406,88
Santa Cruz,Q4,0-17,41060,0,0,0,37,0,0,57623,27717,3184,30908,26715
Santa Cruz,Q4,18-49,50509,0,0,0,266,0,0,114109,92000,9215,101217,12892
Santa Cruz,Q4,50-64,39309,0,0,0,1063,0,0,51797,45280,3108,48388,3409
Santa Cruz,Q4,65+,46067,0,0,0,2665,0,0,51494,47929,3498,51427,67
Shasta,Q1,0-17,337622,881,896,1,7,0.2609427110792543,2.96189229374863e-4,27675,5570,668,6243,21432
Shasta,Q1,18-49,584067,1363,1406,5,10,0.2333636380757687,8.560661704907142e-4,68656,29229,3807,33037,35619
Shasta,Q1,50-64,285431,693,782,16,54,0.24279072700582627,0.00560555791066842,32608,20855,2147,23002,9606
Shasta,Q1,65+,327355,765,965,29,107,0.23369125261566193,0.00885888408608391,37463,29673,3616,33289,4174
Shasta,Q2,0-17,417748,10697,10890,8,45,2.5606346409797296,0.00191503011384854,27675,5590,671,6266,21409
Shasta,Q2,18-49,759802,18397,19305,113,654,2.4212887041624,0.01487229567703164,68656,29266,3859,33126,35530
Shasta,Q2,50-64,354877,9009,10319,215,1394,2.538626059169797,0.06058437148645869,32608,20868,2178,23046,9562
Shasta,Q2,65+,448602,10955,14139,682,4103,2.4420310208157785,0.15202785542641362,37463,29680,3723,33403,4060
Shasta,Q3,0-17,290399,4695,4829,15,271,1.6167411044803872,0.00516530704306833,27675,5594,679,6278,21397
Shasta,Q3,18-49,528396,9775,10410,93,2494,1.849938303847872,0.0176004360366089,68656,29272,3902,33175,35481
Shasta,Q3,50-64,245775,4099,5122,210,5157,1.6677855762384293,0.08544400366188587,32608,20871,2188,23059,9549
Shasta,Q3,65+,298440,4937,7035,583,14942,1.6542688647634367,0.19534914890765315,37463,29682,3748,33430,4033
Shasta,Q4,0-17,22191,0,0,0,24,0,0,27675,5594,684,6283,21392
Shasta,Q4,18-49,53896,0,0,0,295,0,0,68656,29272,3921,33194,35462
Shasta,Q4,50-64,18460,0,0,0,448,0,0,32608,20872,2193,23065,9543
Shasta,Q4,65+,21805,0,1,0,1272,0,0,37463,29682,3760,33442,4021
Sierra,Q1,18-49,7948,20,20,0,0,0.25163563160543534,0,934,429,34,463,471
Sierra,Q1,50-64,5699,9,11,1,3,0.15792244253377785,0.01754693805930865,670,412,26,438,232
Sierra,Q1,65+,9685,22,25,0,0,0.22715539494062983,0,1056,658,40,698,358
Sierra,Q2,18-49,9631,230,243,0,0,2.3881216903748315,0,934,429,35,464,470
Sierra,Q2,50-64,7395,169,187,4,32,2.2853279242731577,0.05409060175794455,670,412,26,438,232
Sierra,Q2,65+,12007,305,393,18,104,2.540184892146248,0.14991255101190973,1056,658,42,700,356
Sierra,Q3,18-49,7206,135,146,2,25,1.8734388009991676,0.02775464890369137,934,429,36,465,469
Sierra,Q3,50-64,5652,97,119,2,93,1.7162066525123851,0.03538570417551309,670,412,26,438,232
Sierra,Q3,65+,8277,137,199,21,419,1.6551890781684186,0.25371511417180137,1056,658,42,700,356
Sierra,Q4,18-49,509,0,0,0,2,0,0,934,429,36,465,469
Sierra,Q4,50-64,412,0,0,0,7,0,0,670,412,26,438,232
Sierra,Q4,65+,619,0,0,0,39,0,0,1056,658,42,700,356
Siskiyou,Q1,0-17,76859,195,196,0,0,0.2537113415475091,0,6118,1292,181,1476,4642
Siskiyou,Q1,18-49,126082,283,295,1,7,0.22445709934804337,7.931346266715312e-4,14922,6468,1026,7494,7428
Siskiyou,Q1,50-64,64931,149,176,1,2,0.22947436509525496,0.00154009641003526,8041,5268,661,5929,2112
Siskiyou,Q1,65+,110065,262,327,17,66,0.2380411574978422,0.0154454186162722,11991,8705,844,9549,2442
Siskiyou,Q2,0-17,88027,2322,2365,1,2,2.637827030342963,0.00113601508628034,6118,1300,177,1480,4638
Siskiyou,Q2,18-49,171885,4259,4454,26,171,2.4778194723216105,0.01512639264624603,14922,6477,1035,7512,7410
Siskiyou,Q2,50-64,87997,2141,2466,52,263,2.4330374899144287,0.05909292362239621,8041,5271,669,5940,2101
Siskiyou,Q2,65+,140410,3717,4849,233,1397,2.647247347055053,0.16594259668114808,11991,8705,866,9571,2420
Siskiyou,Q3,0-17,64947,1076,1106,3,47,1.6567354920165671,0.00461915100004619,6118,1300,182,1485,4633
Siskiyou,Q3,18-49,113948,1899,2008,16,515,1.6665496542282443,0.01404149261066451,14922,6478,1040,7518,7404
Siskiyou,Q3,50-64,56929,1041,1284,49,1133,1.8285935112157248,0.08607212492754132,8041,5272,669,5941,2100
Siskiyou,Q3,65+,89928,1419,2059,191,4991,1.5779290098745662,0.212392135930967,11991,8705,873,9578,2413
Siskiyou,Q4,0-17,4809,0,0,0,4,0,0,6118,1300,190,1493,4625
Siskiyou,Q4,18-49,8784,0,0,0,43,0,0,14922,6478,1042,7520,7402
Siskiyou,Q4,50-64,6285,0,0,0,144,0,0,8041,5272,671,5943,2098
Siskiyou,Q4,65+,7339,0,0,0,461,0,0,11991,8705,874,9579,2412
Solano,Q1,0-17,862231,2262,2295,0,0,0.26234269006797484,0,98196,36659,5127,41792,56404
Solano,Q1,18-49,1609350,4007,4137,9,42,0.24898250846615097,5.592319880697176e-4,184205,133675,16927,150603,33602
Solano,Q1,50-64,756245,1888,2125,30,107,0.24965454317053337,0.00396696837665042,84246,71172,6881,78053,6193
Solano,Q1,65+,742358,1895,2290,76,284,0.2552676740871655,0.0102376481428098,78679,70767,6846,77613,1066
Solano,Q2,0-17,1081142,26605,27102,27,152,2.4608238325770344,0.00249735927380492,98196,36957,5161,42124,56072
Solano,Q2,18-49,1987460,47735,49914,253,1463,2.401809344590583,0.0127298159459813,184205,133849,17208,151058,33147
Solano,Q2,50-64,904409,22622,26238,555,3298,2.501301955199473,0.06136604124903666,84246,71204,6995,78199,6047
Solano,Q2,65+,910342,22538,28851,1381,8343,2.475772841415644,0.15170122876896813,78679,70781,7001,77782,897
Solano,Q3,0-17,775034,13575,13880,19,560,1.7515360616437472,0.00245150535331353,98196,37027,5237,42270,55926
Solano,Q3,18-49,1492814,27448,29204,254,6280,1.83867514640136,0.01701484578788784,184205,133879,17391,151271,32934
Solano,Q3,50-64,665364,11925,14742,533,13289,1.7922520605262684,0.08010652815601685,84246,71208,7048,78256,5990
Solano,Q3,65+,643566,11249,16232,1378,32410,1.7479170745502406,0.21411945317185804,78679,70783,7080,77863,816
Solano,Q4,0-17,58465,0,0,0,47,0,0,98196,37043,5342,42391,55805
Solano,Q4,18-49,95761,0,0,0,474,0,0,184205,133879,17517,151397,32808
Solano,Q4,50-64,47576,0,0,0,1112,0,0,84246,71208,7069,78277,5969
Solano,Q4,65+,59691,0,0,0,3522,0,0,78679,70783,7115,77898,781
Sonoma,Q1,0-17,781407,2043,2068,1,2,0.2614514587148567,1.2797428228823136e-4,89339,46699,5016,51724,37615
Sonoma,Q1,18-49,1749886,4517,4687,17,60,0.25813110111172954,9.714918571838394e-4,198918,161928,13713,175645,23273
Sonoma,Q1,50-64,901561,2276,2523,29,136,0.2524510266082938,0.00321664313340971,101647,86728,4937,91665,9982
Sonoma,Q1,65+,1057320,2729,3337,102,400,0.2581053985548368,0.00964703211894223,110975,103034,5826,108860,2115
Sonoma,Q2,0-17,956004,23772,24189,13,76,2.486600474475002,0.00135982694633076,89339,47225,5088,52322,37017
Sonoma,Q2,18-49,2088417,50694,53081,264,1550,2.4273887829873058,0.01264115356272238,198918,162164,13976,176144,22774
Sonoma,Q2,50-64,1103961,27470,31582,628,3765,2.4883125400263233,0.05688606753318278,101647,86760,5045,91805,9842
Sonoma,Q2,65+,1279210,31555,40736,2000,12027,2.4667568264788424,0.15634649510244605,110975,103050,5975,109025,1950
Sonoma,Q3,0-17,687914,11882,12203,19,390,1.7272507900696887,0.00276197315362094,89339,47367,5248,52624,36715
Sonoma,Q3,18-49,1586746,29555,31517,299,6867,1.862616953185954,0.01884359563534428,198918,162182,14169,176355,22563
Sonoma,Q3,50-64,771651,13791,16989,644,14893,1.7872069108962472,0.0834574179259795,101647,86760,5094,91854,9793
Sonoma,Q3,65+,943334,17095,24489,2065,49182,1.812189532021532,0.21890443893679223,110975,103052,6145,109197,1778
Sonoma,Q4,0-17,49996,0,0,0,33,0,0,89339,47411,5321,52741,36598
Sonoma,Q4,18-49,111589,0,0,0,580,0,0,198918,162182,14239,176425,22493
Sonoma,Q4,50-64,78921,0,0,0,1774,0,0,101647,86760,5111,91871,9776
Sonoma,Q4,65+,67301,0,0,0,4151,0,0,110975,103052,6200,109252,1723
Stanislaus,Q1,0-17,1243256,3022,3068,5,13,0.2430714189193537,4.021697864317566e-4,106655,37464,5367,42849,63806
Stanislaus,Q1,18-49,2248524,5754,5992,20,88,0.25590120452350074,8.894723827719874e-4,246429,153050,15234,168285,78144
Stanislaus,Q1,50-64,847652,2228,2478,31,115,0.26284371416571894,0.00365716119350865,94576,73147,5580,78727,15849
Stanislaus,Q1,65+,736562,1919,2326,73,294,0.26053475471175547,0.0099109104189464,77562,68843,5161,74004,3558
Stanislaus,Q2,0-17,1602731,39350,40067,47,281,2.455184307285502,0.00293249459828255,106655,37612,5389,43019,63636
Stanislaus,Q2,18-49,2642516,67218,70386,355,2237,2.543712128895341,0.01343416652917144,246429,153336,15412,168749,77680
Stanislaus,Q2,50-64,1019911,25154,28887,584,3523,2.46629362758123,0.05725989816758521,94576,73176,5642,78818,15758
Stanislaus,Q2,65+,894447,22011,28346,1356,8011,2.460850111856823,0.15160205132333163,77562,68855,5211,74066,3496
Stanislaus,Q3,0-17,1110139,19709,20259,26,941,1.775363265320829,0.00234204905872147,106655,37626,5456,43100,63555
Stanislaus,Q3,18-49,1914927,32890,35164,333,8267,1.717558946111262,0.01738969683961843,246429,153385,15586,168972,77457
Stanislaus,Q3,50-64,754881,13642,16722,677,15343,1.8071722562894017,0.08968300963993,94576,73182,5670,78852,15724
Stanislaus,Q3,65+,640299,11747,16732,1349,31893,1.8346116423733287,0.21068282161927476,77562,68857,5257,74114,3448
Stanislaus,Q4,0-17,97351,0,0,0,99,0,0,106655,37626,5484,43128,63527
Stanislaus,Q4,18-49,146332,0,0,0,740,0,0,246429,153385,15716,169102,77327
Stanislaus,Q4,50-64,55543,0,0,0,1322,0,0,94576,73182,5690,78872,15704
Stanislaus,Q4,65+,60473,0,0,0,3601,0,0,77562,68857,5275,74132,3430
Sutter,Q1,0-17,211008,516,522,0,0,0.244540491355778,0,17646,6437,627,7067,10579
Sutter,Q1,18-49,371526,907,939,2,12,0.2441282709689228,5.383203328972938e-4,41923,25857,2375,28234,13689
Sutter,Q1,50-64,161274,393,445,7,28,0.2436846608876818,0.00434043925245234,17567,13356,1049,14405,3162
Sutter,Q1,65+,144298,358,423,15,44,0.24809768673162488,0.01039515447199545,15705,13662,1043,14705,1000
Sutter,Q2,0-17,263017,6761,6874,3,26,2.5705562758300795,0.00114061068295965,17646,6492,620,7115,10531
Sutter,Q2,18-49,458196,11358,11896,65,382,2.4788518450619383,0.01418606884390086,41923,25910,2392,28304,13619
Sutter,Q2,50-64,191006,4813,5524,125,781,2.519816131430426,0.06544297037789389,17567,13365,1066,14431,3136
Sutter,Q2,65+,180847,4601,5930,313,1905,2.5441395212527715,0.17307447732060804,15705,13663,1081,14744,961
Sutter,Q3,0-17,183028,3262,3348,0,41,1.782240968594969,0,17646,6500,636,7139,10507
Sutter,Q3,18-49,321086,5998,6375,60,1482,1.8680353550139217,0.01868658241094286,41923,25915,2421,28338,13585
Sutter,Q3,50-64,136392,2487,3082,111,2828,1.8234207284884745,0.08138307232095723,17567,13366,1070,14436,3131
Sutter,Q3,65+,124705,2118,3104,262,6774,1.6984082434545529,0.21009582614971337,15705,13664,1093,14757,948
Sutter,Q4,0-17,13537,0,0,0,3,0,0,17646,6500,645,7148,10498
Sutter,Q4,18-49,32861,0,0,0,175,0,0,41923,25915,2437,28354,13569
Sutter,Q4,50-64,12206,0,0,0,288,0,0,17567,13366,1073,14439,3128
Sutter,Q4,65+,9922,0,0,0,631,0,0,15705,13664,1097,14761,944
Tehama,Q1,0-17,130362,335,340,0,0,0.25697672634663477,0,14665,2254,321,2576,12089
Tehama,Q1,18-49,219951,560,582,2,14,0.2546021613904915,9.092934335374696e-4,24685,10029,1237,11266,13419
Tehama,Q1,50-64,99474,191,210,3,16,0.1920099724551139,0.00301586344170336,11886,7143,600,7743,4143
Tehama,Q1,65+,118484,311,375,13,49,0.2624826980858175,0.01097194557914992,12714,9230,796,10026,2688
Tehama,Q2,0-17,161049,4031,4106,3,9,2.502964936137449,0.0018627871020621,14665,2285,319,2605,12060
Tehama,Q2,18-49,273369,6825,7125,35,249,2.4966254403388826,0.01280320738635324,24685,10048,1254,11302,13383
Tehama,Q2,50-64,132659,3240,3730,102,506,2.4423521962324455,0.07688886543694737,11886,7150,615,7765,4121
Tehama,Q2,65+,146183,3665,4696,206,1377,2.5071314721958093,0.14091925873733607,12714,9234,821,10055,2659
Tehama,Q3,0-17,113221,2046,2100,3,72,1.8070852580351704,0.00264968512908382,14665,2287,329,2617,12048
Tehama,Q3,18-49,187216,3218,3426,29,767,1.7188701820357235,0.01549012904879924,24685,10051,1269,11320,13365
Tehama,Q3,50-64,90798,1514,1857,61,2003,1.667437608757902,0.06718209652194983,11886,7154,618,7772,4114
Tehama,Q3,65+,102509,1609,2373,228,5175,1.5696182774195435,0.2224194948736209,12714,9236,827,10063,2651
Tehama,Q4,0-17,8284,0,0,0,6,0,0,14665,2288,330,2619,12046
Tehama,Q4,18-49,16268,0,0,0,74,0,0,24685,10051,1281,11332,13353
Tehama,Q4,50-64,6630,0,0,0,166,0,0,11886,7155,618,7773,4113
Tehama,Q4,65+,7721,0,0,0,452,0,0,12714,9236,834,10070,2644
Trinity,Q1,0-17,20349,48,50,0,0,0.23588382721509657,0,1644,331,88,419,1225
Trinity,Q1,18-49,36428,98,101,0,0,0.2690238278247502,0,4065,1798,279,2077,1988
Trinity,Q1,50-64,22185,60,67,1,2,0.2704530087897228,0.00450755014649537,2628,1510,192,1702,926
Trinity,Q1,65+,38567,80,87,2,2,0.2074312235849301,0.00518578058962325,4209,2392,273,2665,1544
Trinity,Q2,0-17,23841,609,618,1,10,2.5544230527242986,0.00419445493058177,1644,332,89,421,1223
Trinity,Q2,18-49,44789,1174,1222,7,45,2.6211793074192324,0.01562883743776373,4065,1799,285,2084,1981
Trinity,Q2,50-64,27569,678,763,14,89,2.4592839783815155,0.0507816750698248,2628,1510,195,1705,923
Trinity,Q2,65+,48050,1214,1586,82,462,2.526534859521332,0.17065556711758584,4209,2392,278,2670,1539
Trinity,Q3,0-17,18394,346,358,1,26,1.8810481678808308,0.00543655539849951,1644,332,89,421,1223
Trinity,Q3,18-49,29978,519,559,8,157,1.7312695977049837,0.02668623657348722,4065,1799,288,2087,1978
Trinity,Q3,50-64,19146,339,413,14,343,1.7706048260733311,0.07312232320066855,2628,1510,195,1705,923
Trinity,Q3,65+,33286,559,797,77,1879,1.6793847263113622,0.2313284864507601,4209,2392,281,2673,1536
Trinity,Q4,0-17,1338,0,0,0,2,0,0,1644,332,89,421,1223
Trinity,Q4,18-49,3277,0,0,0,23,0,0,4065,1800,289,2089,1976
Trinity,Q4,50-64,1475,0,0,0,31,0,0,2628,1510,196,1706,922
Trinity,Q4,65+,2541,0,0,0,167,0,0,4209,2392,282,2674,1535
Tulare,Q1,0-17,1245483,3164,3201,1,5,0.2540379916867593,8.029013643702885e-5,140237,34626,4892,39523,100714
Tulare,Q1,18-49,1871651,4945,5133,22,100,0.2642052391177629,0.00117543281306183,207959,123161,15231,138395,69564
Tulare,Q1,50-64,657099,1728,1932,24,93,0.2629740724000493,0.0036524176722229,73318,54671,5504,60175,13143
Tulare,Q1,65+,562104,1413,1715,50,234,0.25137696938644805,0.00889515107524586,60135,47706,4723,52429,7706
Tulare,Q2,0-17,1510761,37358,37968,31,161,2.472793512673414,0.00205194600601948,140237,34766,4939,39710,100527
Tulare,Q2,18-49,2312659,59128,61892,305,2002,2.556710695351109,0.01318828240566378,207959,123499,15426,138928,69031
Tulare,Q2,50-64,778538,18488,21343,447,2552,2.3747074645039805,0.05741530920777149,73318,54713,5586,60299,13019
Tulare,Q2,65+,690544,17457,22693,1104,6667,2.528006904701221,0.15987395444750804,60135,47730,4821,52551,7584
Tulare,Q3,0-17,1106686,19664,20160,24,655,1.7768364287611842,0.00216863681297134,140237,34792,4971,39768,100469
Tulare,Q3,18-49,1600579,26549,28479,266,6967,1.6587122535032637,0.01661898600443964,207959,123555,15633,139191,68768
Tulare,Q3,50-64,603797,11490,13929,469,11368,1.902957450931356,0.07767511266203708,73318,54718,5638,60356,12962
Tulare,Q3,65+,490473,8326,12006,1060,25909,1.6975450228656823,0.2161179106699044,60135,47732,4862,52594,7541
Tulare,Q4,0-17,80663,0,0,0,65,0,0,140237,34794,5002,39801,100436
Tulare,Q4,18-49,121570,0,0,0,608,0,0,207959,123557,15787,139347,68612
Tulare,Q4,50-64,42864,0,0,0,958,0,0,73318,54719,5668,60387,12931
Tulare,Q4,65+,36058,0,0,0,2226,0,0,60135,47732,4883,52615,7520
Tuolumne,Q1,0-17,74014,190,192,1,7,0.2567081903423677,0.00135109573864404,6039,1592,212,1804,4235
Tuolumne,Q1,18-49,159500,384,407,1,4,0.24075235109717869,6.269592476489028e-4,18149,8256,953,9209,8940
Tuolumne,Q1,50-64,87020,255,277,4,16,0.29303608365892897,0.00459664444955182,10157,6863,502,7365,2792
Tuolumne,Q1,65+,140324,375,434,9,40,0.26723867620649355,0.00641372822895584,15082,12058,694,12752,2330
Tuolumne,Q2,0-17,89633,2228,2270,4,44,2.485691653743599,0.0044626421072596,6039,1593,218,1811,4228
Tuolumne,Q2,18-49,197315,5042,5288,26,156,2.555304969211667,0.01317689988090109,18149,8268,958,9226,8923
Tuolumne,Q2,50-64,108470,2723,3126,60,362,2.510371531298977,0.05531483359454227,10157,6868,507,7375,2782
Tuolumne,Q2,65+,173114,4427,5686,261,1490,2.557274397218018,0.1507677022077937,15082,12060,704,12764,2318
Tuolumne,Q3,0-17,65725,1180,1212,4,106,1.795359452263218,0.00608596424496006,6039,1593,220,1813,4226
Tuolumne,Q3,18-49,137047,2376,2545,30,656,1.7337117923048295,0.02189030040788926,18149,8270,971,9241,8908
Tuolumne,Q3,50-64,73654,1235,1530,58,1368,1.676758899720314,0.0787465718087273,10157,6868,511,7379,2778
Tuolumne,Q3,65+,120774,1984,2891,242,5966,1.642737675327471,0.20037425273651613,15082,12060,707,12767,2315
Tuolumne,Q4,0-17,4717,0,0,0,9,0,0,6039,1593,221,1814,4225
Tuolumne,Q4,18-49,10096,0,0,0,57,0,0,18149,8270,974,9244,8905
Tuolumne,Q4,50-64,8077,0,0,0,169,0,0,10157,6868,511,7379,2778
Tuolumne,Q4,65+,8956,0,0,0,512,0,0,15082,12060,709,12769,2313
Ventura,Q1,0-17,1641727,4085,4149,2,7,0.24882334273603343,1.218229340200898e-4,185988,73504,8911,82426,103562
Ventura,Q1,18-49,3083623,7863,8118,18,75,0.2549922607270733,5.83728944815887e-4,346804,270770,26664,297438,49366
Ventura,Q1,50-64,1473271,3639,4065,70,278,0.24700140028548717,0.0047513322396219,169053,142338,9865,152203,16850
Ventura,Q1,65+,1378170,3466,4239,154,657,0.25149292177307586,0.01117423830151577,148209,138225,10002,148227,0
Ventura,Q2,0-17,2017150,50891,51835,41,246,2.52291599533996,0.00203257070619438,185988,74022,9006,83039,102949
Ventura,Q2,18-49,3793130,94507,98806,480,2825,2.491530741102994,0.01265445687334734,346804,271002,27085,298091,48713
Ventura,Q2,50-64,1861344,46522,53656,1097,6888,2.4993767944023246,0.05893590867674111,169053,142371,10054,152425,16628
Ventura,Q2,65+,1689060,41955,53863,2516,15224,2.483925970658236,0.14895859235314318,148209,138241,10235,148476,0
Ventura,Q3,0-17,1450101,24538,25210,41,996,1.6921579945121064,0.00282738926460984,185988,74151,9161,83323,102665
Ventura,Q3,18-49,2704170,45782,49032,459,11334,1.6930148622312946,0.01697378493216033,346804,271035,27369,298408,48396
Ventura,Q3,50-64,1280188,22303,27476,1099,25907,1.742165994369577,0.08584676625620612,169053,142376,10154,152530,16523
Ventura,Q3,65+,1222909,21778,31363,2670,62849,1.7808356958694391,0.21833186279600525,148209,138246,10399,148645,0
Ventura,Q4,0-17,86831,0,0,0,73,0,0,185988,74190,9261,83462,102526
Ventura,Q4,18-49,198152,0,0,0,957,0,0,346804,271043,27513,298560,48244
Ventura,Q4,50-64,121938,0,0,0,2903,0,0,169053,142376,10191,152567,16486
Ventura,Q4,65+,88658,0,0,0,5374,0,0,148209,138246,10454,148700,0
Yolo,Q1,0-17,459153,1215,1228,0,0,0.2646176764607876,0,51035,20978,2241,23225,27810
Yolo,Q1,18-49,990605,2546,2641,9,48,0.2570146526617572,9.085356928341772e-4,110776,79995,9088,89086,21690
Yolo,Q1,50-64,290511,701,796,16,60,0.24129895253536013,0.00550753671977997,33444,30800,1919,32719,725
Yolo,Q1,65+,292035,775,943,30,111,0.26537914975944665,0.01027274128101083,30639,29938,1737,31675,0
Yolo,Q2,0-17,561400,13953,14203,17,78,2.485393658710367,0.00302814392589953,51035,21192,2235,23433,27602
Yolo,Q2,18-49,1186982,28781,30111,131,791,2.4247208466514234,0.01103639313822787,110776,80084,9311,89398,21378
Yolo,Q2,50-64,378863,9425,10878,246,1583,2.487706638019548,0.06493112285971446,33444,30813,1969,32782,662
Yolo,Q2,65+,357222,9089,11666,520,3242,2.544356170672579,0.14556774218833107,30639,29946,1793,31739,0
Yolo,Q3,0-17,402712,7042,7231,11,337,1.7486441923756928,0.00273148056179105,51035,21243,2276,23525,27510
Yolo,Q3,18-49,878764,16626,17659,142,3332,1.891975547473497,0.01615905977031375,110776,80095,9429,89527,21249
Yolo,Q3,50-64,262040,4403,5348,181,5355,1.680277820180125,0.06907342390474737,33444,30814,1998,32812,632
Yolo,Q3,65+,246086,4232,6204,546,12312,1.7197239989272042,0.2218736539258633,30639,29947,1855,31802,0
Yolo,Q4,0-17,30717,0,0,0,31,0,0,51035,21251,2320,23577,27458
Yolo,Q4,18-49,78655,0,0,0,354,0,0,110776,80096,9483,89582,21194
Yolo,Q4,50-64,15319,0,0,0,376,0,0,33444,30814,2013,32827,617
Yolo,Q4,65+,24158,0,0,0,1436,0,0,30639,29947,1872,31819,0
Yuba,Q1,0-17,184959,462,466,1,4,0.2497850875058797,5.406603625668391e-4,15208,4493,535,5031,10177
Yuba,Q1,18-49,297753,802,841,6,34,0.26935077060516605,0.00201509304692144,33335,18084,1904,19989,13346
Yuba,Q1,50-64,123574,303,347,4,21,0.24519720976904527,0.00323692686163756,13385,8984,774,9758,3627
Yuba,Q1,65+,95118,233,282,9,36,0.24495889316428016,0.00946193149561597,10515,8452,703,9155,1360
Yuba,Q2,0-17,227453,5685,5797,2,24,2.4994174620690868,8.79302537227471e-4,15208,4530,537,5070,10138
Yuba,Q2,18-49,362359,9222,9649,58,404,2.544989913318008,0.01600622586992457,33335,18137,1931,20069,13266
Yuba,Q2,50-64,140168,3537,4087,74,416,2.523400490839564,0.05279379030877233,13385,8988,791,9779,3606
Yuba,Q2,65+,126875,3303,4275,195,1161,2.6033497536945815,0.1536945812807882,10515,8454,741,9195,1320
Yuba,Q3,0-17,164549,2924,3014,6,103,1.7769782861032275,0.00364633027244164,15208,4535,543,5081,10127
Yuba,Q3,18-49,257970,4483,4795,38,1219,1.7377989688723494,0.01473039500717137,33335,18145,1949,20095,13240
Yuba,Q3,50-64,109685,1949,2422,100,2157,1.776906596161736,0.09117016912066372,13385,8988,796,9784,3601
Yuba,Q3,65+,86430,1413,2067,173,4503,1.6348490107601528,0.2001619807937059,10515,8457,750,9207,1308
Yuba,Q4,0-17,9763,0,0,0,6,0,0,15208,4537,546,5086,10122
Yuba,Q4,18-49,21820,0,0,0,118,0,0,33335,18145,1970,20116,13219
Yuba,Q4,50-64,5137,0,0,0,125,0,0,13385,8988,798,9786,3599
Yuba,Q4,65+,4084,0,0,0,256,0,0,10515,8457,754,9211,1304
