county,quarter,susceptible,cum_fully_vax,total_partial_vax,cum_atleast_one_dose,cum_unvax,percent_unvax,percent_fully_vax
Alameda,Q1,5035002,4123727,332062,4456041,578961,11.498724330198876,81.90119884758735
Alameda,Q2,5035002,4137250,339962,4477470,557532,11.0731237048168,82.1697786813193
Alameda,Q3,5035002,4140767,348334,4489359,545643,10.836996688382646,82.23962969627419
Alameda,Q4,5035002,4141937,353005,4495200,539802,10.720988790073967,82.26286702567349
Alpine,Q1,2865,1548,165,1713,1152,40.20942408376963,54.03141361256545
Alpine,Q2,2865,1548,168,1716,1149,40.10471204188482,54.03141361256545
Alpine,Q3,2865,1548,168,1716,1149,40.10471204188482,54.03141361256545
Alpine,Q4,1732,955,98,1053,679,39.20323325635104,55.13856812933026
Amador,Q1,112393,64233,5212,69445,42948,38.21234418513608,57.15035633891791
Amador,Q2,112393,64287,5269,69556,42837,38.1135835861664,57.19840203571397
Amador,Q3,112393,64289,5350,69639,42754,38.039735570720595,57.20018150596567
Amador,Q4,112393,64289,5376,69665,42728,38.016602457448414,57.20018150596567
Butte,Q1,680730,349852,31482,381349,299381,43.97940446285605,51.39365093355662
Butte,Q2,680730,350491,31948,382454,298276,43.81707872431066,51.48752074978332
Butte,Q3,680730,350578,32284,382877,297853,43.75493955018877,51.500301147297755
Butte,Q4,680730,350610,32451,383076,297654,43.72570622713851,51.50500198316513
Calaveras,Q1,130415,71445,5522,76967,53448,40.98301575738987,54.78280872599011
Calaveras,Q2,130415,71483,5565,77048,53367,40.92090633746118,54.811946478549245
Calaveras,Q3,130415,71499,5623,77122,53293,40.86416439826707,54.82421500594257
Calaveras,Q4,130415,71499,5638,77137,53278,40.85266265383583,54.82421500594257
Colusa,Q1,64674,37785,3352,41142,23532,36.385564523610725,58.423786993227566
Colusa,Q2,64674,37818,3428,41251,23423,36.217026935089834,58.474812134706376
Colusa,Q3,64674,37821,3447,41273,23401,36.18301017410397,58.47945078393172
Colusa,Q4,64674,37821,3462,41288,23386,36.15981692797724,58.47945078393172
Contra Costa,Q1,3478521,2849704,179148,3028963,451867,12.990204745062629,81.92286319386889
Contra Costa,Q2,3478521,2856506,183197,3039812,441503,12.69226202745362,82.11840606970607
Contra Costa,Q3,3478521,2858236,187537,3045882,435763,12.527249368337865,82.16813985024095
Contra Costa,Q4,3478521,2858833,190320,3049262,432518,12.433962595022424,82.18530231670299
Del Norte,Q1,79148,40045,4915,44966,34182,43.18744630312832,50.595087683832816
Del Norte,Q2,79148,40137,4954,45097,34051,43.02193359276292,50.711325617829885
Del Norte,Q3,79148,40142,5012,45160,33988,42.94233587709102,50.717642896851466
Del Norte,Q4,79148,40142,5036,45184,33964,42.91201293778744,50.717642896851466
El Dorado,Q1,567267,353982,33469,387466,179925,31.71786830540116,62.401303090079274
El Dorado,Q2,567267,354388,34044,388447,178946,31.545286434782916,62.47287432549399
El Dorado,Q3,567267,354480,34294,388789,178606,31.485349932218863,62.4890924379525
El Dorado,Q4,567267,354511,34433,388959,178437,31.455557964767916,62.494557236715686
Fresno,Q1,3064947,1834553,186246,2020929,1044018,34.06316650826262,59.85594530672146
Fresno,Q2,3064947,1838623,189521,2028274,1036673,33.82352125501681,59.988737162502325
Fresno,Q3,3064947,1839300,191887,2031317,1033630,33.724237319601286,60.01082563581034
Fresno,Q4,3064947,1839413,193335,2032878,1032069,33.673306585725626,60.01451248586028
Glenn,Q1,85482,45759,3958,49719,35763,41.83687793921527,53.53056783884327
Glenn,Q2,85482,45843,4000,49845,35637,41.68947848669895,53.62883414052081
Glenn,Q3,85482,45861,4039,49902,35580,41.62279778198919,53.649891205166
Glenn,Q4,85482,45863,4065,49930,35552,41.590042348096674,53.65223087901546
Humboldt,Q1,402642,272219,24700,296931,105711,26.254340083746857,67.60819785317975
Humboldt,Q2,402642,272801,25307,298120,104522,25.959040537251457,67.75274313161567
Humboldt,Q3,402642,272918,25831,298761,103881,25.79984204330398,67.78180120305383
Humboldt,Q4,402642,272970,26085,299067,103575,25.723844010311893,67.79471590147078
Imperial,Q1,574857,513345,206954,720764,17310,3.011183650890569,89.29959972654069
Imperial,Q2,574857,515078,215457,731027,16807,2.923683629146031,89.60106600424106
Imperial,Q3,574857,515616,225167,741278,16459,2.8631468347780404,89.69465449668353
Imperial,Q4,574857,515847,232073,748415,16223,2.822093146643426,89.73483840328986
Inyo,Q1,53511,34536,3141,37677,15834,29.59017772046869,64.5400011212648
Inyo,Q2,53511,34563,3184,37747,15764,29.459363495356097,64.59045803666535
Inyo,Q3,53511,34568,3232,37800,15711,29.360318439199418,64.59980190988769
Inyo,Q4,53511,34568,3247,37815,15696,29.33228681953243,64.59980190988769
Kern,Q1,2761953,1442470,160306,1602887,1159259,41.972437619322264,52.226449907004216
Kern,Q2,2761953,1445269,162475,1607855,1154297,41.79278213640855,52.32779124047367
Kern,Q3,2761953,1445607,164223,1609941,1152212,41.71729207557116,52.3400289577701
Kern,Q4,2761953,1445657,165424,1611192,1150963,41.672070451597115,52.34183927097963
Kings,Q1,453392,208154,26547,234719,218673,48.23044958887673,45.91038218583478
Kings,Q2,453392,208617,26844,235479,217913,48.06282422274764,46.01250132335815
Kings,Q3,453392,208667,27238,235923,217469,47.964895719377495,46.02352930797191
Kings,Q4,453392,208672,27431,236121,217271,47.92122490030702,46.02463210643328
Lake,Q1,188773,106519,12452,118976,69797,36.9740376007162,56.42703140809332
Lake,Q2,188773,106627,12684,119316,69457,36.793927097625186,56.4842429796634
Lake,Q3,188773,106647,12851,119503,69270,36.694866320925136,56.49483771513935
Lake,Q4,188773,106653,12908,119566,69207,36.661492904175915,56.49801613578212
Lassen,Q1,85156,25599,2764,28363,56793,66.69289304335572,30.061299262529943
Lassen,Q2,85156,25629,2800,28429,56727,66.61538822866268,30.09652872375405
Lassen,Q3,85156,25631,2832,28463,56693,66.57546150594203,30.098877354502324
Lassen,Q4,85156,25631,2843,28474,56682,66.56254403682654,30.098877354502324
Los Angeles,Q1,30595167,21792486,2302524,24096262,6505251,21.26234839639869,71.22852442675016
Los Angeles,Q2,30595167,21833970,2349433,24184663,6417072,20.974136209160093,71.36411446945199
Los Angeles,Q3,30595167,21843322,2384122,24228704,6373136,20.8305318287689,71.39468138873045
Los Angeles,Q4,30595167,21845310,2403812,24250385,6351505,20.75983111973208,71.40117914702017
Madera,Q1,472855,256463,27954,284421,188440,39.85154011271955,54.237134005139
Madera,Q2,472855,257077,28286,285367,187494,39.65147878313648,54.36698353617917
Madera,Q3,472855,257165,28651,285820,187041,39.555677744763194,54.38559389241945
Madera,Q4,472855,257179,28848,286031,186830,39.51105518605069,54.388554630912225
Marin,Q1,774495,686616,54379,741017,36363,4.695059361261209,88.6533805899328
Marin,Q2,774495,688401,55517,743940,34221,4.418492049658164,88.88385334960199
Marin,Q3,774495,688855,56988,745865,32878,4.245088735240382,88.94247219155707
Marin,Q4,774495,688971,57653,746646,32315,4.172396206560404,88.95744969302578
Mariposa,Q1,51908,26574,4247,30824,21084,40.61801649071434,51.194420898512746
Mariposa,Q2,51908,26585,4294,30882,21026,40.50628034214379,51.215612237034755
Mariposa,Q3,51908,26590,4316,30909,20999,40.45426523849888,51.225244663635664
Mariposa,Q4,51908,26590,4325,30918,20990,40.43692687061725,51.225244663635664
Mendocino,Q1,264891,177261,20258,197527,67376,25.43536775503886,66.91846835113311
Mendocino,Q2,264891,177546,20560,198114,66789,25.213767172157603,67.02605977553031
Mendocino,Q3,264891,177682,20771,198461,66442,25.082769894031888,67.07740164822512
Mendocino,Q4,264891,177709,20899,198616,66287,25.0242552597106,67.08759452001011
Merced,Q1,837110,452684,59222,511935,325175,38.84495466545616,54.077003022302925
Merced,Q2,837110,453390,59763,513182,323928,38.695989774342685,54.16134080347863
Merced,Q3,837110,453481,60241,513751,323359,38.62801782322514,54.1722115373129
Merced,Q4,837110,453486,60578,514093,323017,38.58716297738648,54.17280883038072
Modoc,Q1,26895,10826,741,11573,15322,56.96969696969697,40.25283509946087
Modoc,Q2,26895,10839,749,11594,15301,56.89161554192229,40.301171221416624
Modoc,Q3,26895,10839,760,11605,15290,56.850715746421265,40.301171221416624
Modoc,Q4,26895,10839,765,11610,15285,56.83212493028445,40.301171221416624
Mono,Q1,40760,27121,2907,30030,10730,26.324828263002946,66.53827281648675
Mono,Q2,40760,27152,2947,30101,10659,26.15063788027478,66.61432777232581
Mono,Q3,40760,27157,2974,30133,10627,26.072129538763495,66.62659470068695
Mono,Q4,40760,27159,2974,30135,10625,26.06722276741904,66.6315014720314
Monterey,Q1,1335543,950627,105974,1056649,278894,20.882442572047474,71.17906349701957
Monterey,Q2,1335543,953102,107979,1061129,274414,20.54699848675782,71.36438137895972
Monterey,Q3,1335543,953780,109534,1063362,272181,20.379800575496255,71.41514724722454
Monterey,Q4,1335543,953933,110417,1064398,271145,20.302229130773025,71.42660326174448
Napa,Q1,418107,326276,34155,360455,58590,14.0131593108941,78.03648348389288
Napa,Q2,418107,326838,34615,361477,57614,13.77972624232553,78.1708988369006
Napa,Q3,418107,326969,35107,362100,57037,13.64172329092792,78.2022305295056
Napa,Q4,418107,327007,35310,362341,56810,13.587430968627649,78.21131911209332
Nevada,Q1,294051,190674,20839,211518,82533,28.06758011365375,64.84385361722967
Nevada,Q2,294051,190916,21202,212123,81928,27.861833491469167,64.9261522661035
Nevada,Q3,294051,190970,21437,212412,81639,27.76355122070661,64.94451642742246
Nevada,Q4,294051,190987,21555,212547,81504,27.717640817409222,64.95029773746731
Orange,Q1,9627816,6867068,616897,7484329,2144372,22.272673262555077,71.32529329600816
Orange,Q2,9627816,6879757,630572,7510695,2118047,21.99924676582934,71.45708850273
Orange,Q3,9627816,6881943,640571,7522882,2105886,21.87293566889937,71.47979354819411
Orange,Q4,9627816,6882290,645131,7527789,2100983,21.822010308464556,71.48339768853081
Placer,Q1,1189128,809094,58029,867168,322210,27.096326047322073,68.04095101620683
Placer,Q2,1189128,810337,58751,869133,320250,26.931499384422867,68.14548139476994
Placer,Q3,1189128,810535,59579,870159,319225,26.84530176734548,68.16213225153221
Placer,Q4,1189128,810604,59889,870538,318846,26.81342967283589,68.16793482282816
Plumas,Q1,56375,30844,2826,33670,22705,40.27494456762749,54.712195121951225
Plumas,Q2,56375,30863,2857,33720,22655,40.186252771618626,54.74589800443459
Plumas,Q3,56375,30867,2867,33734,22641,40.161419068736144,54.7529933481153
Plumas,Q4,56375,30867,2878,33745,22630,40.14190687361419,54.7529933481153
Riverside,Q1,7433913,4326185,464701,4791099,2642814,35.55077924640764,58.19526001985764
Riverside,Q2,7433913,4332277,473494,4805984,2627929,35.3505482240645,58.27720878627447
Riverside,Q3,7433913,4333582,479167,4812962,2620951,35.25668110455422,58.29476347113559
Riverside,Q4,7433913,4333787,482457,4816457,2617456,35.20966683360432,58.29752110362335
Sacramento,Q1,4675611,3151815,254764,3406899,1268712,27.13467822708091,67.409692551412
Sacramento,Q2,4675611,3160441,260232,3420998,1254613,26.833134749661596,67.59418180853797
Sacramento,Q3,4675611,3162409,265387,3428112,1247499,26.680983512101413,67.63627256416326
Sacramento,Q4,4675611,3162778,268392,3431486,1244125,26.608821820292576,67.64416458084301
San Benito,Q1,185157,132659,11755,144425,40810,22.040754602850555,71.64676463757785
San Benito,Q2,185157,132966,11916,144893,40344,21.789076297412464,71.81256987313469
San Benito,Q3,185157,133037,12036,145084,40155,21.687000761515904,71.85091570937097
San Benito,Q4,185157,133057,12172,145240,40000,21.60328802043671,71.86171735338118
San Bernardino,Q1,6601020,3679064,349166,4028397,2572623,38.97311324613469,55.73478038242574
San Bernardino,Q2,6601020,3686085,355921,4042173,2558847,38.76441822627413,55.841142732486794
San Bernardino,Q3,6601020,3687199,361730,4049096,2551924,38.65954049525679,55.858018912228715
San Bernardino,Q4,6601020,3687346,364865,4052378,2548642,38.60982090646597,55.8602458407943
San Diego,Q1,10031481,7458217,1024485,8483102,1550675,15.458086398209794,74.34811470011257
San Diego,Q2,10031481,7476888,1075983,8553271,1485214,14.805530708775702,74.53423876295035
San Diego,Q3,10031481,7481484,1128474,8610362,1446628,14.420881622564004,74.58005453033306
San Diego,Q4,10031481,7482652,1167996,8651052,1420469,14.160112549682344,74.59169787591684
San Francisco,Q1,2677287,2232183,217696,2449948,231608,8.65084692078212,83.3748118897974
San Francisco,Q2,2677287,2238069,227686,2465824,218357,8.155905586513512,83.59466131199233
San Francisco,Q3,2677287,2239900,234443,2474412,210883,7.876742388843631,83.66305143975973
San Francisco,Q4,2677287,2240606,237571,2478246,207501,7.750420481629352,83.68942141802503
San Joaquin,Q1,2326050,1461335,146974,1608412,717638,30.85221727821844,62.82474581371854
San Joaquin,Q2,2326050,1463976,149503,1613582,712485,30.630682917392143,62.938285935384016
San Joaquin,Q3,2326050,1464395,151276,1615774,710302,30.536832828185123,62.9562993056899
San Joaquin,Q4,2326050,1464410,152225,1616738,709343,30.49560413576664,62.95694417574859
San Luis Obispo,Q1,835722,542196,51409,593662,242160,28.976142784323017,64.87755497641561
San Luis Obispo,Q2,835722,543205,51784,595046,240776,28.81053747538057,64.9982889046836
San Luis Obispo,Q3,835722,543429,52268,595754,240069,28.725939965682368,65.02509207607315
San Luis Obispo,Q4,835722,543470,52444,595971,239852,28.699974393398765,65.02999801369354
San Mateo,Q1,2324970,1959074,167868,2127007,216939,9.330830075226777,84.26233456775788
San Mateo,Q2,2324970,1965846,172683,2138594,206560,8.88441571289092,84.55360714331798
San Mateo,Q3,2324970,1967682,177262,2145009,200680,8.63150922377493,84.63257590420523
San Mateo,Q4,2324970,1968221,179787,2148073,197852,8.509873245676289,84.65575899904086
Santa Barbara,Q1,1360494,930778,107644,1038463,325445,23.921090427447677,68.41470818687918
Santa Barbara,Q2,1360494,932858,109185,1042084,321955,23.66456595912955,68.56759382988827
Santa Barbara,Q3,1360494,933317,110688,1044046,320082,23.52689537770839,68.60133157514844
Santa Barbara,Q4,1360494,933436,111430,1044907,319255,23.466108634069684,68.61007839799368
Santa Clara,Q1,5924481,4955514,402035,5357698,596472,10.067919873487652,83.64469394027932
Santa Clara,Q2,5924481,4970308,414986,5385443,572030,9.655360528626897,83.89440357729225
Santa Clara,Q3,5924481,4974091,424816,5399056,559626,9.445991978031492,83.95825727181841
Santa Clara,Q4,5924481,4975247,429784,5405180,554087,9.352498556413634,83.97776952951659
Santa Cruz,Q1,825069,624781,51863,676673,148535,18.00273674080592,75.7246969647387
Santa Cruz,Q2,825069,626110,52821,678960,146248,17.725547802668626,75.88577440189852
Santa Cruz,Q3,825069,626425,53652,680106,145103,17.586771530623498,75.92395302695896
Santa Cruz,Q4,825069,626497,54037,680563,144646,17.53138222378977,75.93267956982992
Shasta,Q1,519304,250637,29320,279975,239329,46.08649269021613,48.26402261488454
Shasta,Q2,519304,250881,29882,280781,238523,45.93128495062622,48.31100858071572
Shasta,Q3,519304,250935,30128,281081,238223,45.87351532050591,48.32140711413738
Shasta,Q4,519304,250940,30248,281206,238098,45.84944464128911,48.32236994130605
Sierra,Q1,8794,4598,332,4930,3864,43.9390493518308,52.28564930634524
Sierra,Q2,8794,4604,339,4943,3851,43.7912212872413,52.35387764384808
Sierra,Q3,8794,4604,344,4948,3846,43.73436433932226,52.35387764384808
Sierra,Q4,8794,4604,344,4948,3846,43.73436433932226,52.35387764384808
Siskiyou,Q1,127635,63526,7645,71179,56456,44.23238140008618,49.77161436909939
Siskiyou,Q2,127635,63588,7744,71340,56295,44.10624045128687,49.82019038664943
Siskiyou,Q3,127635,63594,7795,71397,56238,44.06158185450699,49.82489129157363
Siskiyou,Q4,127635,63594,7831,71433,56202,44.03337642496181,49.82489129157363
Solano,Q1,1335978,911313,101236,1012573,324123,24.26110310199719,68.21317416903571
Solano,Q2,1335978,912790,102895,1015709,321001,24.027416619135945,68.3237298817795
Solano,Q3,1335978,913094,103996,1017114,319608,23.92314843507902,68.34648474750333
Solano,Q4,1335978,913138,104808,1017970,318758,23.85952463289066,68.34977821491073
Sonoma,Q1,1502637,1170810,83268,1254159,248478,16.536129484366484,77.91702187554279
Sonoma,Q2,1502637,1173112,84941,1258134,244503,16.271594536804297,78.07021922127566
Sonoma,Q3,1502637,1173568,86572,1260221,242416,16.132705370625107,78.10056587186392
Sonoma,Q4,1502637,1173696,87178,1260955,241682,16.083857911125573,78.1090842299238
Stanislaus,Q1,1649124,953269,88453,1041779,607345,36.82834037949845,57.804567758397795
Stanislaus,Q2,1649124,954637,89418,1044112,605012,36.68687133290159,57.88752088987851
Stanislaus,Q3,1649124,954839,90329,1045225,603899,36.6193809561925,57.89976981718779
Stanislaus,Q4,1649124,954840,90889,1045786,603338,36.58536289569493,57.8998304554418
Statewide,Q1,119859807,84454207,9288186,93747419,26112388,21.785775109749675,70.46082345185154
Statewide,Q2,119859807,84635501,9526210,94166783,25693024,21.435896355147644,70.61207849266768
Statewide,Q3,119859807,84676313,9720724,94402109,25457791,21.23963957325578,70.64612827217384
Statewide,Q4,119859807,84686341,9837238,94528654,25331430,21.134215575701703,70.65449471314433
Sutter,Q1,291261,174257,14532,188807,102454,35.17601051977436,59.82846999769966
Sutter,Q2,291261,174645,14717,189380,101881,34.97927975252437,59.96168385056701
Sutter,Q3,291261,174696,14898,189612,101649,34.899626108541824,59.97919391885629
Sutter,Q4,291261,174700,14994,189712,101549,34.86529264130797,59.98056725754564
Tehama,Q1,191774,83407,8334,91743,100031,52.16087686547707,43.4923399418065
Tehama,Q2,191774,83576,8496,92074,99700,51.98827786874133,43.58046450509454
Tehama,Q3,191774,83606,8590,92198,99576,51.92361842585543,43.59610791869597
Tehama,Q4,191774,83611,8647,92260,99514,51.89128870441249,43.5987151542962
Trinity,Q1,38835,17836,2419,20255,18580,47.84344019569976,45.92764259044676
Trinity,Q2,38835,17844,2466,20310,18525,47.701815372730785,45.9482425646968
Trinity,Q3,38835,17846,2481,20327,18508,47.658040427449464,45.9533925582593
Trinity,Q4,38835,17848,2490,20338,18497,47.62971546285567,45.958542551821814
Tulare,Q1,1444947,763715,86365,850104,594843,41.16711547205538,52.85418773145313
Tulare,Q2,1444947,765303,87542,852869,592078,40.975758972474424,52.96408795616725
Tulare,Q3,1444947,765562,88485,854071,590876,40.892572530341944,52.982012489039384
Tulare,Q4,1444947,765576,89157,854757,590190,40.84509674057249,52.98298138270815
Tuolumne,Q1,152891,83979,6795,90774,62117,40.6282907430784,54.92736655525832
Tuolumne,Q2,152891,84037,6869,90906,61985,40.54195472591584,54.96530207795096
Tuolumne,Q3,152891,84042,6935,90977,61914,40.49551641365417,54.968572381631354
Tuolumne,Q4,152891,84042,6950,90992,61899,40.48570550261297,54.968572381631354
Ventura,Q1,2550162,1833082,156630,1989766,560910,21.995073254169736,71.88100206967243
Ventura,Q2,2550162,1835348,159287,1994689,556244,21.812104485911092,71.96985916973118
Ventura,Q3,2550162,1835843,161257,1997154,553949,21.722110203194937,71.9892697012974
Ventura,Q4,2550162,1835980,162208,1998242,552919,21.68172061225914,71.99464190902381
Yolo,Q1,677682,474408,42049,516483,162235,23.93969442895045,70.0045153921751
Yolo,Q2,677682,475350,42959,518335,160447,23.675853866562782,70.14351864148671
Yolo,Q3,677682,475535,43669,519230,159615,23.55308241918776,70.17081758110736
Yolo,Q4,677682,475561,44033,519620,159242,23.4980418544391,70.17465418883783
Yuba,Q1,228689,117606,11269,128891,99798,43.63917809776597,51.42617266243676
Yuba,Q2,228689,117916,11507,129439,99250,43.39955135577138,51.561727936192824
Yuba,Q3,228689,117971,11617,129604,99085,43.32740096812702,51.58577806540761
Yuba,Q4,228689,117977,11717,129710,98979,43.28104981000398,51.588401715867406
